id,categoryId,country,country_en,name,description,description_en,person,phone,email,website,wechat,logo,capacity,capacity_en,size,size_en,export,export_en,commitment,commitment_en,AR,AS,AT,AU,product,product_en
11,3,"马拉维","Malawi","Dedza Pottery","德扎陶艺是一家融合传统工艺与现代创意的马拉维家族企业。其手工陶瓷制品以实用兼具装饰性著称，享誉海内外。企业旗下在德扎和恩科塔科塔设有两处度假屋，将艺术创作、待客之道与文化体验完美融合于独特目的地之中。","Dedza Pottery is a family-run Malawian business blending traditional craftsmanship with modern creativity. Renowned for handcrafted ceramics, it offers functional and decorative pieces celebrated locally and internationally. Complemented by two lodges in Dedza and Nkhotakota, the business combines artistry, hospitality, and cultural experiences in a unique destination.","Ms. Chifuno STEVENS","265999002485","chifuno@dedza-pottery.com","www.dedza-pottery.com","暂无","images/SME/Dedza Pottery/logo.jpg","500 - 800 件/每月","500-800 pieces/month","98 员工","98 employees","美国，英国，德国，澳大利亚，南美","United States, UK, Germany, Australia, South Africa
","通过雇佣和培训当地工匠来支持可持续生计，采用对环境负责的做法并减少浪费，与其他公司建立生态旅游合作伙伴关系。","Supporting sustainable livelihoods by employing and training local artisans, environmentally responsible practices and waste reduction, eco-tourism partnerships with other companies.",,,,,"陶瓷制品，酒店旅游服务","Ceramic products,Hospitality/Tourism services"
12,3,"蒙古","Mongolia","Sain tumen cashmere LLC","ST Cashmere专注设计与生产100%纯蒙古羊绒针织服装及配饰。我们秉持品质至上的理念，从原材料到成品的每个生产环节都严格把控，致力于打造符合客户需求与全球时尚潮流的环保产品。","Sain Tumen Cashmere (ST Cashmere) designs and manufactures 100% pure Mongolian knitted cashmere clothing and accessories. We value quality at every stage of production, from raw materials to finished products, and strive to produce environmentally friendly products that meet the needs of our customers and global fashion trends.","Mrs. Sainbileg GANBOLD","+976-99189137","stcashmere@gmail.com","www.stcashmere.com","sainaa_smile","images/SME/Sain tumen cashmere LLC/logo.jpg","1000-2000件/每月","1000-2000 pieces/month","24人","24 persons","韩国，中国，波兰，德国，拉脱维亚和捷克共和国","Republic of Korea, China, Poland, Germany, Latvia, and the Czech Republic.
","特殊社会-经济承诺。","Special social – eco commitments.",,,,,"百分百羊毛针织服饰，百分百羊毛针织配饰","100% Cashmere knitted
clothing,100% Cashmere knitted
accessories
"
13,3,"摩洛哥","Morocco","COLORADO","成立于1962年的COLORADO是一家摩洛哥工业企业，主营涂料、涂层及清漆的生产与分销。该公司于2006年在卡萨布兰卡证券交易所上市，并于2007年成为西非和北非地区的行业领导者。","Founded in 1962, COLORADO is a Moroccan industrial company that manufactures and distributes paints, coatings and varnishes. Listed on the Casablanca Stock Exchange in 2006, COLORADO became in 2007 the regional leader in West and North Africa.​","Mrs. CHAHIRA MOUGOUDE","212661322802","mougoude@colorado.ma","www.colorado.ma/en","wxid_y53we3j7918i12","images/SME/COLORADO/logo.jpg","100000 吨/每年","100 000 tons/year","241人","241 persons","塞内加尔，科特迪瓦，法国，阿尔及利亚等更多国家","Senegal, Côte d'Ivoire, France,Algeria and many more.
","环保标签- 高品质环境™ - 高环境质量- ISO 9001- ISO 14001- ISO 45001- ISO 27001。","ECOLABEL- HQE™ – High Environmental Quality- ISO 9001- ISO 14001- ISO 45001- ISO 27001.",,,,,"解决方案材料，建筑涂料，工业涂料，汽车修补漆，木器漆","Solution paints,Architectural paints,Industrial paints,Automotive car refinish,Wood paints"
14,3,"尼泊尔","Nepal","BEST HIMALAYA EXPORT PVT LTD","Best Himalaya Export 是一家尼泊尔公司，主要出口采用传统工艺制作的高品质颂钵与毛毡制品。我们的产品种类丰富，涵盖多款颂钵，以及不同音调、图案与尺寸的毛毡制品。Best Himalaya 的核心优势在于：拥有独特工艺的专业技术、秉持符合道德准则的可持续经营模式，以及致力于保护文化遗产的坚定理念。而我们的创新优势则体现在能够将传统工艺与现代技术相融合，打造出兼具独特性与高品质的产品。","Best Himalaya Export is a Nepalese company that exports high-quality singing bowls and felt products crafted using traditional methods. Our product offering includes a wide range of singing bowls, felt items in various tones, designs and sizes. Best Himalaya’s strength lies in expertise in unique craftsmanship, ethical and sustainable practices, and commitment to preserving cultural heritage. Our innovative advantage lie in our ability to blend traditional techniques with modern technologies to create unique and high-quality products.","Ms. Usha Duwadi","+977 9851249906","besthimalayasupply@gmail.com","www.besthimalaya.com","best_himalaya","images/SME/BEST HIMALAYA EXPORT PVT LTD/logo.jpg","60,000 件/每月","60,000 unit/ month","100 人","100 persons","美国，中国，英国，德国，意大利，加拿大，日本，澳大利亚等众多国家","United States,China, UK,Germany,Italy, Canada,Japan,Australia and many more.
","以尊重、公平和平等的态度对待所有员工、客户及利益相关方。在工作场所及社区活动中倡导多元包容，开展符合我们价值观的倡议行动。为员工提供安全健康的工作环境。","Treating all employees,customers and stakeholders with respect, fairness and equality. Encouraging diversity and inclusivity in our workplace and community events and initiatives that align with our values. Provide safe and healthy working conditions for our employee.",,,,,"颂钵，毛毡制品","Singing bowls,Felt products"
15,3,"尼泊尔","Nepal","Divya Pashmina Udyog","Divya 是一家致力于赋能女性手工艺人的公司，助力她们成为收入的掌控者与变革的缔造者。每一件产品都融合了传统元素与现代设计，凝聚着手工艺人的精湛技艺、创作自豪与明确初心。公司深植于尼泊尔的文化遗产，选用可持续材料进行生产，力求在每一根丝线中都融入永不过时的优雅质感、接轨全球的精致格调，以及对女性力量的赋能。","Divya, a company empowering women artisans to become income owners and creators of change. Each piece blends tradition and modern design, crafted with skill, pride, and purpose. Rooted in Nepal’s heritage, working with sustainable materials, we produce timeless elegance, global sophistication, and women’s empowerment into every thread.","Mr Upendra Giri","+977- 9851074180","info@divyapashmina.com","www.Divyapashmina.com","暂无","images/SME/Divya Pashmina Udyog/logo.jpg","13,000 件/每月","13,000 pieces/ Month","64 人","64 persons","英国，美国，日本，德国","UK,United States,Japan,Germany
","女性赋权、公平薪资、可持续材料。","Women Empowerment, Fair wages, Sustainable Material.
",,,,,"披肩，毛衣，围巾，女用披肩，毯子，帽子，成衣","Shawl,Sweater,Scarf,Stoles,Blankets,Cap,Garments"
16,3,"菲律宾","Philippines","BEBEBALM, INC.","Bebebalm 源于创始人对婴儿干燥、瘙痒和湿疹问题的关注。创始团队结合医学与传统植物疗法，研发出温和且有效的植物基护肤方案，适用于婴儿、母亲及敏感肌肤人群。","BEBEBALM NATURAL SKIN RESCUE for moms, babies & kids; and adults with sensitive skin. Born from a mom’s love & desperation for her baby’s dry, itchy, eczema-prone skin. The dad’s a doctor, the mom knows traditional remedies. They combined Science + Nature for effective yet gentle 
plant-based skin solutions for the family.
","Ms. Carol ONG","+86 135 21796710 ","Hello.bebebalm@gmail.com","1","+86 135 21796710 ","images/SME/BEBEBALM, INC/logo.jpg","暂无","None","5 人","5 persons","中国，美国","China,United States","帮助家庭通过获取神奇的菲律宾植物功效与护肤创新来度过美好一天。","To help families save the day by giving access to amazing Philippine plant benefits & skincare innovations.",,,,,"适用于婴儿儿童及母亲的头发护理产品，应对瘙痒的油，有助于改善睡眠以及缓解压力的精油，洗发皂，用于快速缓解症状的深色薄荷膏","Skin & Hair care for Baby, Kid, Mom.,Oil for Itchy rash,Sleep and stress essential oils,Shampoo bar,Deep mint rub for quick relief
"
17,3,"南苏丹","South Sudan","MAYO trading company ltd","May Co. Ltd专注于采用优质皮革制造高品质鞋履、服装及配饰。此外，公司还负责生皮原料的收购、加工与出口业务，确保提供顶级原材料。秉持对品质与可持续性的承诺，五月有限公司将精湛工艺与高效加工相融合，以卓越产品服务全球市场。","May Co. Ltd specializes in manufacturing high-quality footwear, apparels and accessories using premium leather. Additionally, the company is involved in collecting, preparing, and exporting hides and skins, ensuring top-grade raw materials. Committed to quality and sustainability, Mayo Co. Ltd combines craftsmanship with efficient processing to serve global markets with exceptional products.","Mr. Andrew Maduk Tut","211915628495","maduktut1980@gmail.com","暂无","暂无","images/SME/MAYO trading company ltd/logo.jpg","1000-2000皮革制品
每月","1000- 2000 LEATHER PRODUCTS
PER MONTH
","20人","20 persons","东非、南非
","EAST AFRICA, SOUTH AFRICA
","专项社会环保责任","Special social – eco commitments",,,,,"鞋履，包袋
， 钱包，学童鞋履及皮革配饰","Footware,Bags,Wallets,School shoes&leather accessories"
18,3,"斯里兰卡","Sri Lanka","The Empress Kingdom","Empress 是源自斯里兰卡的可持续护肤品牌，提供无毒素皂类、糖蜡和粘土面膜，所有产品均采用植物精粹、天然粘土及锡兰香料匠心研制。我们的核心优势在于天然安全的配方、环保包装以及对女性供应商的赋能。通过将古老智慧与现代科技相融合，我们不断创新，打造奢华且可持续的美丽盛宴。","The Empress is a sustainable skincare brand from Sri Lanka, offering toxic-free soaps, sugar wax, and clay masks crafted with botanicals, clays, and Ceylon spices. Our strengths lie in natural, safe formulations, eco-friendly packaging, and empowering women suppliers. Innovation blends ancient wisdom with modern science for luxurious, sustainable beauty.","Ms.. Tharika (Tara) Keragala Arachchi
","+94777757763
","info.empresskingdom@gmail.com
","https://empresskingdom.shop/
","TaraK89TEK
","images/SME/The Empress Kingdom/logo.jpg","生产能力：每月1000件","PRODUCTION CAPACITY:	Pieces/month : 1000","10人","10 persons","荷兰、英国、阿联酋、新加坡、印度尼西亚（间接出口）
","Netherlands, United Kingdom, UAE, Singapore, Indonesia (Indirect Exports)
","福祉与健康、赋能女性从商、社区赋权。
","Wellbeing & Wellness,empower women in business, Community empowerment.
",,,,,"手工皂
，糖蜡，身体磨砂膏，香水油，润唇膏，沐浴盐，固体香水，精油","Handmade soap,Sugar wax,Body scrubs,Perfume oil,Lip balm,Bath soak,Solid perfume,Essential oils"
19,3,"突尼斯","Tunisia","El bochra company","Bahia Laboratoire 是突尼斯的有机感官护肤品牌，2016年创立于凯鲁万。我们将这片土地孕育的瑰宝转化为卓越的护肤产品，并同时提供膳食补充剂系列，所用原材料主要来自我们自有的认证有机农场。","Bahia Laboratoire is a Tunisian brand of organic and sensory cosmetics. Founded in 2016 and based in Kairouan, we transform the treasures of our land into exceptional skincare,We offer also food supplements. using a majority of raw materials from our own certified organic farms."," Bouchra Masrour Aouani
","+21653351358
","bahiacosmetics@gmail.com
","wwww.bahiacosmetic.com
","wxid-ymjeg8s5e01g22
","images/SME/El bochra company/logo.jpg","1/仙人掌果籽油：60升，2/橄榄油：1000升，3/硬质小麦：50吨，4/醋：1000升","1/prickly pear seed oil:60 litres,2/Olive oil:1000 litres,3/durum wheat:50tonnes,4/vinegar:1000 litres","30人（10+20名农村妇女）","30 persons（10+20 rural women）","","","
本企业秉持道德与可持续发展理念，恪守特殊的社会生态责任——积极投身乡村小屋建设项目。","ethical and sustainable.
Special social – eco commitments   the construction of the rural cottage",,,,,"化妆品，  食品","Cosmetic,Food"
20,3,"乌干达","Uganda","JOY HORN CRAFTS","Joy Horn Crafts 是一家专业从事牛角工艺品制造的厂商，致力于利用原始牛角原料打造各类工艺制品。我们从市立屠宰场采购原始牛角，将其精制成高端礼品与纪念品。所有产品均对健康无害，且符合环保标准。","Joy horn crafts is a manufacturing company s pecializing in the production of crafts from raw cow horns.Joy horn crafts manufactures a wide range of crafts from cow horns.We out source raw horns from city abattoirs th en turn them into luxury gifts and souvenirs Pr oducts are health and environment friendly.","Mr. Timothy Ssenkandwa","+256765622680","kiwumuloketra@gmail.com｜ssenkandwa3@gmail.com","https://joyhornscraft.com/","+256-765622680","images/SME/JOY HORN CRAFTS/logo.jpg","1吨","1 ton","20人","20 persons","中国北京、比利时、加拿大、意大利
"," Beijing China, Belgium, Canada ,Italy
","本公司致力于生产环保产品，而牛角作为一种有机材料，不会破坏环境。","company focuses on production of eco friendly  products and cow horn is an organic product and doesn't damage the environment",,,,,"牛角工艺品","Cow horn crafts"
21,3,"坦桑尼亚联合共和国","United Republic of Tanzania","NANA Naturals","NANA Naturals，一个将护肤品配方打造得如肌肤般纯净自然的品牌。","NANA Naturals, a brand that formulates skincare as pure and natural as your skin.","Ms. Nancy James Lyakurwa","+255754228454
","nanaorganics@outlook..com","暂无","暂无","images/SME/NANA naturals/logo.jpg","1000/月","1000/month","3人","3 PERSONS","肯尼亚、马拉维和","Kenya, Malawi and ","采购可持续原料，研发节水配方，赋能女性与社区","Sourcing sustainable Ingredients. Water conscious formulations。Women/community empowerment
              ",,,,,"手工制作的护肤香皂，手工制作的护肤精油，黄油，磨砂膏","Handmade skincare soaps,Handmade skincare oils,Butters,Scrubs"
22,3,"越南","Viet Nam","Mekong Coconut Oil Company Limited","Mekong Coconut Oil Company Limited公司专注于生产各类纯天然、未精炼椰子油。我们的核心技术突破在于运用生物工艺打造出快速吸收型优质椰子油，适用于天然高效护肤（包括抗衰老与保湿）及修护秀发领域。","Mekong Coconut Oil Company, specializes in the production of different types of PURE - UNREFINED Coconut Oil. Our key innovation includes application of Bio Technology to produce Premium Coconut Oil with fast absorption for natural and effective skincare, including anti-aging and moisturizing and hair care /repair.","lMr/s. First name Thuy Hoang","+86 182 7594 3503","sales@cocovie.com.vn","http://www.cocovie.com.vn","wxid_canavzvkjp2s22","images/SME/Mekong Coconut Oil Company Limited/logo.jpg","10万件/月，100吨油","100,000 pieces/month，100 tons of oil","20人","20 persons","土耳其、美国、澳大利亚、韩国","Turkey, USA, Australia, Korea","女性赋能——社区发展与生态共建

","Empowering Women-Developing Community and Restoring Biodiversity
",,,,,"椰子精华，
椰子护发精华液","Coconut serum,Coconut hair serum"
23,3,"赞比亚","Zambia","Authentic Crafts Limited (Namayo jewellery brand name)","我们是一家赞比亚社会企业，旗下Namayo Handmade品牌致力于打造优雅永续的手工精品，为女性赋能。品牌将文化遗产与现代设计相融合，坚持道德生产、开展手工艺人培训、推行影响驱动型叙事。这一创新商业模式融汇美学价值与人文尊严，创造可衡量的社会变革，专为高端市场与意识觉醒消费者量身打造。","We are a Zambian social enterprise. Our brand Namayo Handmade crafts elegant, sustainable pieces that empower women. We blend cultural heritage with modern design, offering ethical production, artisan training, and impact-driven storytelling. Our innovative model combines beauty, dignity, and measurable social change, tailored for upscale markets and conscious consumers.","Ms. Nyawa Chipalabela 
","±260 967972920/ 774510225
","sales@namayojewellery.com
","暂无","wxid_d8j3yjj601p322
","images/SME/Authentic Crafts Limited (Namayo jewellery brand name)/logo.jpg","1000件/月
","1000pieces/month
","","","美国、南非、中国、欧洲
","USA, South Africa, China, Europe
","女性赋能，道德采购，工匠培训，可持续设计，文化传承，尊严守护，社会影响。


","Empowering women, ethical sourcing, artisan training, sustainable design, cultural pride, dignity, social impact",,,,,"手工串珠耳饰，戒指，
项链","Handbeaded earrings,Rings,Necklaces"
